Date,Value
1960-12-31,1306110066688.0
1961-12-31,1345207795712.0
1962-12-31,1343375147008.0
1963-12-31,1368422088704.0
1964-12-31,1421570605056.0
1965-12-31,1440508619252.9
1966-12-31,1481948609128.4
1967-12-31,1463871905725.9
1968-12-31,1555960772115.9
1969-12-31,1453980879335.9
1970-12-31,1578471383900.2
1971-12-31,1576254429709.3
1972-12-31,1676870042987.3
1973-12-31,1583246362157.4
1974-12-31,1649754987883.6
1975-12-31,1774074957510.1
1976-12-31,1932331379750.7
1977-12-31,1880488758671.9
1978-12-31,1806135525808.8
1979-12-31,1932595457105.7
1980-12-31,1868614029220.2
1981-12-31,1963343724996.9
1982-12-31,2117330041804.5
1983-12-31,2004552728680.3
1984-12-31,2079638550310.1
1985-12-31,2147922872928.3
1986-12-31,2214795008840.5
1987-12-31,2349772913049.9
1988-12-31,2335852129742.7
1989-12-31,2428768965828.5
1990-12-31,2412359276176.1
1991-12-31,2474014968018.6
1992-12-31,2504758246613.8
1993-12-31,2537339651193.0
1994-12-31,2536899964379.9
1995-12-31,2672965906110.6
1996-12-31,2726749323678.0
1997-12-31,2811933881126.7
1998-12-31,2977800652082.2
1999-12-31,3166805107478.2
2000-12-31,3268110825369.7
2001-12-31,3417820250781.0
2002-12-31,3440200264012.4
2003-12-31,3670116695915.0
2004-12-31,3885580887079.4
2005-12-31,4104051824454.9
2006-12-31,4205075943398.6
2007-12-31,4412742991585.7
2008-12-31,4575243329127.4
2009-12-31,4686109523561.3
2010-12-31,4886030559871.5
2011-12-31,4987007480466.5
2012-12-31,5159203990547.8
